"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Quality","Atmosphere","Price"
10001,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301,"HOUSTON",3347938701,5078,670,38
10005,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL",35957,"MARSHALL",2565938310,3214.5,755,39
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",35631,"LAUDERDALE",2567688400,590.5,581,40
10007,"MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL",36467,"COVINGTON",3344933541,19090,714,43
10008,"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL",36049,"CRENSHAW",3343353374,19090,664,39
10011,"ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL",35235,"JEFFERSON",2058383122,1057.5,631,38
10012,"DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL",35968,"DE KALB",2568453150,19090,689,42
10016,"SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL",35007,"SHELBY",2056208100,351,620,42
10018,"CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD","BIRMINGHAM","AL",35233,"JEFFERSON",2053258100,19090,901,83
10019,"HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",35660,"COLBERT",2563864556,3388.5,693,47
10021,"DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL",36360,"DALE",3347742601,19090,682,37
10022,"CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL",35960,"CHEROKEE",2569275531,19090,751,37
10023,"BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL",36116,"MONTGOMERY",3342882100,454,637,43
10024,"JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL",36106,"MONTGOMERY",3342938000,924.5,695,43
10029,"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL",36801,"LEE",3347493411,3630,742,30
10032,"WEDOWEE HOSPITAL","209 NORTH MAIN STREET","WEDOWEE","AL",36278,"RANDOLPH",2563572111,19090,670,28
10033,"UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL",35233,"JEFFERSON",2059344011,824,764,37
10034,"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL",36078,"ELMORE",3342836541,19090,794,33
10035,"CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL",35058,"CULLMAN",2567372000,3315,707,38
10036,"ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL",36420,"COVINGTON",3342228466,19090,669,31
10038,"STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL",36201,"CALHOUN",2562358900,19090,570,39
10039,"HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL",35801,"MADISON",2562651000,760,710,43
10040,"GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL",35903,"ETOWAH",2564944000,361.5,658,45
10044,"MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL",35570,"MARION",2059216200,19090,852,22
10045,"FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL",35555,"FAYETTE",2059325966,19090,882,28
10046,"RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL",35901,"ETOWAH",2565435200,6604.5,532,43
10047,"GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","GEORGIANA","AL",36033,"BUTLER",3343762205,19090,806,28
10049,"MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL",36330,"COFFEE",3343470584,19090,685,34
10051,"GREENE COUNTY HOSPITAL","509 WILSON AVENUE","EUTAW","AL",35462,"GREENE",2053723388,19090,598,39
10052,"LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","DADEVILLE","AL",36853,"TALLAPOOSA",2568257821,19090,634,31
10054,"DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS","1874 BELTLINE RD SW","DECATUR","AL",35601,"MORGAN",2563502211,19090,608,35
10055,"FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL",36305,"HOUSTON",3347935000,990.5,722,42
10056,"ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL",35205,"JEFFERSON",2059397000,556,714,44
10058,"BIBB MEDICAL CENTER","208 PIERSON AVE","CENTREVILLE","AL",35042,"BIBB",2059264881,19090,737,47
10059,"LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","MOULTON","AL",35650,"LAWRENCE",2569742200,19090,697,32
10061,"HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL",35768,"JACKSON",2562594444,19090,723,27
10062,"WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL",36340,"GENEVA",3346843655,19090,646,34
10065,"RUSSELL HOSPITAL","3316 HIGHWAY 280","ALEXANDER CITY","AL",35010,"TALLAPOOSA",2563297100,3138.5,778,42
10069,"MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL",36027,"BARBOUR",3346887271,19090,686,45
10073,"CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL",36251,"CLAY",2563542131,19090,734,31
10078,"NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","ANNISTON","AL",36207,"CALHOUN",2562355121,3568,642,39
10079,"ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL",35611,"LIMESTONE",2562339292,19090,703,37
10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","AL",36535,"BALDWIN",2519493400,727,744,41
10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","DECATUR","AL",35601,"MORGAN",2563412000,3380.5,700,36
10086,"NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","AL",35594,"MARION",2054877736,19090,686,40
10087,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","MOBILE","AL",36617,"MOBILE",2514717110,593.5,690,38
10089,"WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","AL",35502,"WALKER",2053874000,19090,646,36
10090,"PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","MOBILE","AL",36608,"MOBILE",2516331000,262.5,660,38
10091,"GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL","AL",36451,"CLARKE",2512753191,19090,550,33
10092,"D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL",35401,"TUSCALOOSA",2057597111,654,685,40
10095,"HALE COUNTY HOSPITAL","508 GREEN STREET","GREENSBORO","AL",36744,"HALE",3346243024,19090,684,39
10097,"ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","WETUMPKA","AL",36092,"ELMORE",3345674311,19090,741,55
10099,"D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","AL",36426,"ESCAMBIA",2518678061,19090,692,41
10100,"THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","AL",36532,"BALDWIN",2519282375,536,759,38
10101,"CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","AL",35161,"TALLADEGA",2567614542,19090,579,38
10102,"J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","CAMDEN","AL",36726,"WILCOX",3346824131,19090,678,46
10103,"BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL",35211,"JEFFERSON",2057833800,370.5,693,40
10104,"TRINITY MEDICAL CENTER","800 MONTCLAIR RD","BIRMINGHAM","AL",35213,"JEFFERSON",2055921000,428,730,44
10108,"PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL",36067,"AUTAUGA",3343614267,19090,719,41
10109,"PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON DRIVE","CARROLLTON","AL",35447,"PICKENS",2053678111,19090,756,38
10110,"BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","UNION SPRINGS","AL",36089,"BULLOCK",3347382140,19090,753,41
10112,"BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","DEMOPOLIS","AL",36732,"MARENGO",3342894000,19090,640,46
10113,"MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL",36652,"MOBILE",2514354700,248,697,40
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL",35021,"JEFFERSON",2054817000,534.5,565,41
10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL",36701,"DALLAS",3344184100,648,543,40
10120,"MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","MONROEVILLE","AL",36460,"MONROE",2515753111,19090,813,44
